Title,Country,Date,Time,Impact,Forecast,Previous
Natural Gas Storage,USD,10-27-2022,2:30pm,Low,,111B
Tokyo Core CPI y/y,JPY,10-27-2022,11:30pm,Low,3.1%,2.8%
Unemployment Rate,JPY,10-27-2022,11:30pm,Low,2.5%,2.5%
PPI q/q,AUD,10-28-2022,12:30am,Low,1.3%,1.4%
BOJ Policy Rate,JPY,10-28-2022,3:30am,Low,-0.10%,-0.10%
BOJ Outlook Report,JPY,10-28-2022,3:30am,High,,
Monetary Policy Statement,JPY,10-28-2022,3:30am,High,,
French Consumer Spending m/m,EUR,10-28-2022,5:30am,Low,1.2%,0.0%
French Flash GDP q/q,EUR,10-28-2022,5:30am,Low,0.2%,0.5%
German Prelim CPI m/m,EUR,10-28-2022,6:29am,Low,0.6%,1.9%
BOJ Press Conference,JPY,10-28-2022,6:30am,High,,
French Prelim CPI m/m,EUR,10-28-2022,6:45am,Low,0.6%,-0.5%
Spanish Flash GDP q/q,EUR,10-28-2022,7:00am,Low,0.3%,1.1%
KOF Economic Barometer,CHF,10-28-2022,7:00am,Low,93.1,93.8
Spanish Flash CPI y/y,EUR,10-28-2022,8:00am,Low,8.0%,8.9%
German Prelim GDP q/q,EUR,10-28-2022,8:00am,Low,-0.2%,0.0%
Italian Prelim CPI m/m,EUR,10-28-2022,9:00am,Low,1.1%,0.3%
Italian 10-y Bond Auction,EUR,10-28-2022,10:33am,Low,,4.70|1.4
Employment Cost Index q/q,USD,10-28-2022,12:30pm,Low,1.2%,1.3%
Core PCE Price Index m/m,USD,10-28-2022,12:30pm,High,0.5%,0.6%
Personal Spending m/m,USD,10-28-2022,12:30pm,Low,0.4%,0.4%
Personal Income m/m,USD,10-28-2022,12:30pm,Low,0.4%,0.3%
GDP m/m,CAD,10-28-2022,12:30pm,High,0.1%,0.1%
Revised UoM Consumer Sentiment,USD,10-28-2022,2:00pm,Medium,59.7,59.8
Revised UoM Inflation Expectations,USD,10-28-2022,2:00pm,Low,,5.1%
Pending Home Sales m/m,USD,10-28-2022,2:00pm,Medium,-4.4%,-2.0%
Daylight Saving Time Shift,GBP,10-30-2022,2:00am,Holiday,,
Daylight Saving Time Shift,CHF,10-30-2022,2:00am,Holiday,,
Daylight Saving Time Shift,EUR,10-30-2022,2:00am,Holiday,,
